FECHA;DEMANDA_GBA;TEMP_AVG;TIPO_DIA
2022-04-04;126243;15.98;H
2022-04-05;131072;17.33;H
2022-04-06;131320;20.48;H
2022-04-07;131442;21.32;H
2022-04-08;130218;21.11;H
2022-04-09;117483;21;SA
2022-04-10;111565;22.52;D
2022-04-11;126461;19.83;H
2022-04-12;127160;17.28;H
2022-04-13;128850;13.82;H
2022-04-14;126792;14.37;SA
2022-04-15;113782;15.44;F
2022-04-16;111341;17.58;SA
2022-04-17;104630;19.29;D
2022-04-18;124066;19.92;H
2022-04-19;128058;20.37;H
2022-04-20;128529;20.55;H
2022-04-21;126522;17.85;H
2022-04-22;132037;15.01;H
2022-04-23;124184;15.17;SA
2022-04-24;110973;19.17;D
2022-04-25;125522;21.51;H
2022-04-26;130257;21.49;H
2022-04-27;124268;18.3;H
2022-04-28;135886;14.11;H
2022-04-29;149678;10.58;H
2022-04-30;144014;12.05;SA
2022-05-01;126967;13.82;F
2022-05-02;154664;12.55;H
2022-05-03;161177;11.54;H
2022-05-04;157552;13.67;H
2022-05-05;148970;15.74;H
2022-05-06;139312;18.09;H
2022-05-07;122017;19.42;SA
2022-05-08;111342;18.64;D
2022-05-09;132696;16.65;H
2022-05-10;138046;16.68;H
2022-05-11;146564;14.11;H
2022-05-12;153989;13.4;H
2022-05-13;149406;15.86;H
2022-05-14;132252;15.87;SA
2022-05-15;136437;12.55;D
2022-05-16;168142;12.45;H
2022-05-17;179616;11.81;H
2022-05-18;156435;11.69;H
2022-05-19;171364;10.57;H
2022-05-20;166992;13.47;H
2022-05-21;142448;15.7;SA
2022-05-22;132687;14.95;D
2022-05-23;147490;15.87;H
2022-05-24;146941;16.7;H
2022-05-25;156663;11.68;F
2022-05-26;179839;10.38;H
2022-05-27;171953;12.3;H
2022-05-28;162586;11.11;SA
2022-05-29;161945;9.55;D
2022-05-30;197302;7.09;H
2022-05-31;202043;6.44;H
2022-06-01;199982;8.08;H
2022-06-02;198659;7.52;H
2022-06-03;198914;8.07;H
2022-06-04;174315;11.93;SA
2022-06-05;162304;11.39;D
2022-06-06;181203;11.28;H
2022-06-07;187913;10.52;H
2022-06-08;187255;10.63;H
2022-06-09;188259;11;H
2022-06-10;203098;7.71;H
2022-06-11;188000;8.03;SA
